0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x3194E99EC64584CA: Mailman cannot reach the mailbox on your lot!	→	Mailman cannot reach the post box on your lot!
0x31A6695D5C526794: That looks to be the last for this session.  Time to get back to the normal rat race.	→	That looks to be the last for this session. Time to get back to the normal rat race.
0x31B21A9B1ABF0075: Appetizing Music	→	Appetising Music
0x31BD10B5F8204ECE: Choose where you want to live for the term. Dorms, Sororities, and Fraternities are free for enrolled students. Houses require rent to be paid up front for the term.	→	Choose where you want to live for the term. Dorms, men's colleges, and women's colleges are free for enrolled students. Houses require rent to be paid up front for the term.
0x31DAC278B67FE14B: • Your Sim will be reluctant to socialize with Sims that aren't friends.	→	• Your Sim will be reluctant to socialise with Sims that aren't friends.
0x31F0FF6436F4AF6C: Analyze a Plant	→	Analyse a Plant
0x32100E7CB4DEA945: (From Daycare Sim)	→	(From Nursery Sim)
0x321344FEE8E6AB59: Darling husband arrived at the resort looking a little dough-y. Now I can bounce a quarter off of his abs! Thanks, free gym facilities!	→	Darling husband arrived at the resort looking a little dough-y. Now I can bounce a penny off of his abs! Thanks, free gym facilities!
0x3214CCA87CAF4609: Test:  {MA.Male0. Male0. Male0}{FA.Female0}{MB.Male1}{FB.Female1}: EndTest {2.SimFirstName}	→	Test: {MA.Male0. Male0. Male0}{FA.Female0}{MB.Male1}{FB.Female1}: EndTest {2.SimFirstName}
0x32220ABCC0022623: Light: Set Color Magenta	→	Light: Set Colour Magenta
0x323EC19166AD14E4: A distance voice resounds from below, “The blue priest of Horus is generous.  If you are brave, walk the path and collect your treasure.  You will not be harmed if you leave the dead be.”	→	A distance voice resounds from below, “The blue priest of Horus is generous. If you are brave, walk the path and collect your treasure. You will not be harmed if you leave the dead be.”
0x3253B856780BD887: {0.String} lost a big game at the stadium and is feeling like a failure. This situation clearly calls for a cheery Sing-A-Gram!	→	{0.String} lost a big match at the stadium and is feeling like a failure. This situation clearly calls for a cheery Sing-A-Gram!
0x3290235B3A792B4A: With crises such as Emergency Weekend Daycare and Problem Children, true Daycare Dynamos will have their hands full. Be sure to use the unlocked socials and rewards to keep the kids in line, and don't be afraid to bring in some help! 	→	With crises such as Emergency Weekend Nursery and Problem Children, true Nursery Dynamos will have their hands full. Be sure to use the unlocked socials and rewards to keep the kids in line, and don't be afraid to bring in some help! 
0x3290235B3A792B4D: The better the Daycare specialist, the more kids (and money) will show up, including school age children coming by for after school care. They'll need to get their homework done to get the best rating.	→	The better the Nursery specialist, the more kids (and money) will show up, including school age children coming by for after school care. They'll need to get their homework done to get the best rating.
0x3290235B3A792B4F: Nurturing or Family-Oriented Sims should check out the new Daycare profession, which allows them to care for the neighborhood's bundles of joy. This profession can be found on the newspaper or computer.	→	Nurturing or Family-Oriented Sims should check out the new Nursery profession, which allows them to care for the neighbourhood's bundles of joy. This profession can be found in the newspaper or computer.
0x32D7791D13E84753: Equestrian Champions have won at least {0.Number} Equestrian Center competitions at the Advanced or International level.  They are so well-known in the riding world that they receive extra prize money from sponorships at every competition they win.	→	Equestrian Champions have won at least {0.Number} Equestrian Centre competitions at the Advanced or International level. They are so well-known in the riding world that they receive extra prize money from sponorships at every competition they win.
0x32E8E0B6B6907113: There are many paths to acquiring wealth, though some are more devious and selfish than others. Gold Diggers seek to marry the incredibly wealthy and yearn to see the “hopefully” premature demise of their spouse. It’s the only way to really enjoy the money – alone and rich with the spouse six-feet under in the backyard.	→	There are many paths to acquiring wealth, though some are more devious and selfish than others. Gold Diggers seek to marry the incredibly wealthy and yearn to see the “hopefully” premature demise of their spouse. It’s the only way to really enjoy the money – alone and rich with the spouse 2 metres under in the backyard.
0x32F9581FFA20AF66: The band apparently trusts you enough to be the guiding hand behind the scenes. You’ll be instrumental in telling them what gigs to take, where to make their appearances, and what colors the t-shirts should come in. Make sure they like you, because even though you’re in charge, they still pay your salary.	→	The band apparently trusts you enough to be the guiding hand behind the scenes. You’ll be instrumental in telling them what gigs to take, where to make their appearances, and what colours the t-shirts should come in. Make sure they like you, because even though you’re in charge, they still pay your salary.
0x3302AE9EFB0940C2: Bleh! The {1.String} notes overpower the {0.String} flavor and ruin it.	→	Bleh! The {1.String} notes overpower the {0.String} Flavour and ruin it.
0x3302AE9EFB0940C3: Yuck!  The {0.String} flavor is overpowering, washing out the {1.String} hints.	→	Yuck! The {0.String} Flavour is overpowering, washing out the {1.String} hints.
0x330D697BC99A0E26: Pranks are mischievous fun for children and teens alike! Your Sim is looking for trouble and wishes to Pull a Prank. Look for a household object to Booby Trap, or pull a Prank at school or a neighbor's home.	→	Pranks are mischievous fun for children and teens alike! Your Sim is looking for trouble and wishes to Pull a Prank. Look for a household object to Booby Trap, or pull a Prank at school or a neighbour's home.
0x33142ECF31E49E32: A particularly bossy Sim tried to correct {0.SimFirstName} several times utilizing their amateur web searching ability, but it turns out medical school is better than the Internet sometimes!	→	A particularly bossy Sim tried to correct {0.SimFirstName} several times utilising their amateur web searching ability, but it turns out medical school is better than the Internet sometimes!
0x33159DF214449021: • Mayday Mayday! Celebrity Sighting Alert! Some of the hottest stars are said to appear at '{0.String}'. Come hang out at  '{0.String}' and meet the star of your dreams!	→	• Mayday Mayday! Celebrity Sighting Alert! Some of the hottest stars are said to appear at '{0.String}'. Come hang out at '{0.String}' and meet the star of your dreams!
0x33159DF214449023: • The hottest spot in town is '{0.String}'! It's rumored to have frequent Celebrity sightings and the trendiest crowd around. Don't miss out! 	→	• The hottest spot in town is '{0.String}'! It's rumoured to have frequent Celebrity sightings and the trendiest crowd around. Don't miss out! 
0x33159DF214449024: •  '{0.String}' is all the rave right now! The bar snacks are said to be the best in the area. Visit '{0.String}' tonight and judge for yourself!	→	• '{0.String}' is all the rave right now! The bar snacks are said to be the best in the area. Visit '{0.String}' tonight and judge for yourself!
0x33234F2FCA368730: Insufficient household funds to see the game!	→	Insufficient household funds to see the match!
0x3336929044AB775A: Fertilizer Flinger	→	Fertiliser Flinger
0x333E810F52E070EC:  Improved Localized Static Tester	→	Improved Localised Static Tester
0x33723E3617068C27: A washing in the Sonic Shower by waves of {MA.his}{FA.her} favorite color lets {0.SimFirstName} feel extra-fresh!	→	A washing in the Sonic Shower by waves of {MA.his}{FA.her} favourite colour lets {0.SimFirstName} feel extra-fresh!
0x337433E02D694EBB: Localization Project Manager	→	Localisation Project Manager
0x3376FBBAEF262E22: Scientists were unable to come up with a clever name for this gem due to its mind-numbing color scheme. It is comprised of several minerals, including one that is only found in sharks.	→	Scientists were unable to come up with a clever name for this gem due to its mind-numbing colour scheme. It is comprised of several minerals, including one that is only found in sharks.
0x33A9282BB6B313C8: Play Pool by Yourself	→	Play Snooker by Yourself
0x33CBE78087F04240: {0.SimFirstName} may now enter Equestrian Center Show Jumping competitions.	→	{0.SimFirstName} may now enter Equestrian Centre Show Jumping competitions.
0x33CBE78087F04241: {0.SimFirstName} may now Gallop while riding, use Race Training Posts, run Jumping Courses, and enter Equestrian Center Racing competitions.	→	{0.SimFirstName} may now Gallop while riding, use Race Training Posts, run Jumping Courses, and enter Equestrian Centre Racing competitions.
0x33CBE78087F04245: {0.SimFirstName} may now enter Equestrian Center Cross-Country competitions.	→	{0.SimFirstName} may now enter Equestrian Centre Cross-Country competitions.
0x33E955F28B9B6052: Town Trashcan	→	Town Waste Bin
0x33F41F46A4F76301: Congratulations on becoming a top level Architectural Designer! Your world wide fame has caught the attention of the City Council and they have unanimously voted on behalf of the citizens of {TownName} to present you with the {1.String}. The Mayor is preparing to honor your achievements in a ceremony outside City Hall.	→	Congratulations on becoming a top level Architectural Designer! Your world wide fame has caught the attention of the City Council and they have unanimously voted on behalf of the citizens of {TownName} to present you with the {1.String}. The Mayor is preparing to honour your achievements in a ceremony outside City Hall.
0x3413BEC3045AE71C: Civic Center Summer Festival	→	Civic Centre Summer Festival
0x341A9EF3769935F3: {0.SimName} is starving!  {1.SimName} should get off soon before {0.SimFirstName} bucks them off!	→	{0.SimName} is starving! {1.SimName} should get off soon before {0.SimFirstName} bucks them off!
0x341D518EB34B4D3F: Sorensen	→	Sørensen
0x343A6BA75D3F1120: Play Catch	→	Throw Ball
0x3487136B6C383780: Faced with the horror of this alternate reality, {0.SimFirstName} would rather be subjected to nosy neighbors and loud late night dance parties. {0.SimFirstName} decided to give up and take {MA.his}{FA.her} chances at home.	→	Faced with the horror of this alternate reality, {0.SimFirstName} would rather be subjected to nosy neighbours and loud late night dance parties. {0.SimFirstName} decided to give up and take {MA.his}{FA.her} chances at home.
0x348DEBA2027F45EC: Whoa, luckily this {0.ObjectName} didn't jam {1.SimFirstName}'s miner.  Maybe its worth something.	→	Whoa, luckily this {0.ObjectName} didn't jam {1.SimFirstName}'s miner. Maybe its worth something.
0x34A9FED49D2A6798: Quality of this fertilizer.	→	Quality of this Fertiliser.
0x34AA6B5D2F2AFF9B: This blend of Nectar is absolutely terrible!  What would you like to call it?	→	This blend of Nectar is absolutely terrible! What would you like to call it?
0x34ABAFDCEE36B99B: {0.SimFirstName} has a Good Sense of Humor, which means other Sims will really love her jokes. (Hover over any trait in the Simology panel to see more benefits.)	→	{0.SimFirstName} has a Good Sense of Humour, which means other Sims will really love her jokes. (Hover over any trait in the Simology panel to see more benefits.)
0x34C4BA89145359CF: Fairies are not famous for their patience, and one of their favorite shortcuts is making plants bloom instantly. Your Sim wants to give some plants a little “fairy dust” boost.	→	Fairies are not famous for their patience, and one of their favourite shortcuts is making plants bloom instantly. Your Sim wants to give some plants a little “fairy dust” boost.
0x34E5C1C8FB624C7F: 6                       12                       18	→	6 12 18
0x34EEF30659DDBD8A: I'm in labor! How do you think I'm doing?	→	I'm in labour! How do you think I'm doing?
0x34FF329E6B292FDB: Food made with top-of-the-line equipment just has that superior flavor!	→	Food made with top-of-the-line equipment just has that superior flavour!
0x3528CB48EECDBBE9: A Historical Hoarder has Collected {0.Number} Relics of each culture.  Relics discovered by Historical Hoarders are {1.Number}% more valuable.	→	A Historical Hoarder has Collected {0.Number} Relics of each culture. Relics discovered by Historical Hoarders are {1.Number}% more valuable.
0x3535618315AEAEE0: The Honor Roll	→	The Honour Roll
0x354E111FFE324692: Analyze	→	Analyse
0x3566A7FC97CAA262: Hello, {0.SimFirstName}! So, you’re the new Architectural Designer I keep hearing so much about? You’re off to good start with {3.Number} successful jobs so far. I am honored to present you with the {1.String} on behalf of the town of {TownName}. What do you think – should I change the wallpaper in my office to something a bit earthier? I was thinking a deep sort of swamp green, or maybe a terra-cotta brown?	→	Hello, {0.SimFirstName}! So, you’re the new Architectural Designer I keep hearing so much about? You’re off to good start with {3.Number} successful jobs so far. I am honoured to present you with the {1.String} on behalf of the town of {TownName}. What do you think – should I change the wallpaper in my office to something a bit earthier? I was thinking a deep sort of swamp green, or maybe a terra-cotta brown?
0x3568E31DAB026C5D: Geologists have spent years painstakingly searching the world’s surface for the illusive essences of life.  And, after long last, they have found the essence of pure love, hidden within the rocks of the paleozoic layer!  Be sure to get one for yourself before the love is gone.	→	Geologists have spent years painstakingly searching the world’s surface for the illusive essences of life. And, after long last, they have found the essence of pure love, hidden within the rocks of the paleozoic layer! Be sure to get one for yourself before the love is gone.
0x3575F284C596B67D: Yum, this looks good!  Thanks!	→	Yum, this looks good! Thanks!
0x359450AECDD566EA: Analyze a Fish	→	Analyse a Fish
0x35DC9FC0D602C747: Cookies	→	Biscuits
0x35EA6EA1D3A11130: Vegetarian Chili	→	Chili Sin Carne
0x36312DB8510F25CD: When our neighbors turned their little Cindy’s bedroom into a princess castle I knew my little pookie needed a sweet retreat as well! Make it as fun and as imaginative as you can!	→	When our neighbours turned their little Cindy’s bedroom into a princess castle I knew my little pookie needed a sweet retreat as well! Make it as fun and as imaginative as you can!
0x363C7D7C8AC46F15: The term stained-glass actually refers to glass that has been colored by the addition of metallic salts during its manufacture. No discoloration, corruption, or blemish is indicated or implied. In fact, at Stain-Free Glass, inc., we clean our windows constantly, so you never have to worry about blots, spots or tarnish.	→	The term stained-glass actually refers to glass that has been coloured by the addition of metallic salts during its manufacture. No discolouration, corruption, or blemish is indicated or implied. In fact, at Stain-free Glass, inc., we clean our windows constantly, so you never have to worry about blots, spots or tarnish.
0x364C942E5A682ECB: SimBots get lonely, too! Make sure your SimBot gets enough social contact by visiting neighbors or chatting it up on the phone. If there are no Sims to be found, SimBot can find stimulating conversation with every Sim's favorite appliance - the microwave!	→	SimBots get lonely, too! Make sure your SimBot gets enough social contact by visiting neighbours or chatting it up on the phone. If there are no Sims to be found, SimBot can find stimulating conversation with every Sim's favourite appliance - the microwave!
0x364CEB20913C0104: The mayor has decided to throw a public celebration in your honor. Make sure to head down to city hall to receive your award.	→	The mayor has decided to throw a public celebration in your honour. Make sure to head down to city hall to receive your award.
0x365FB001F188E66C: Having an instinctual craving to scratch things, cats may target your furniture.  Satisfying these cravings with a scratching post before your cat's claws are out could save your Simoleons!	→	Having an instinctual craving to scratch things, cats may target your furniture. Satisfying these cravings with a scratching post before your cat's claws are out could save your Simoleons!
0x3663B9B7104AC17E: Discolored Tan	→	Discoloured Tan
0x366CE4808CDA0D03: {1.SimName} has been transformed by Rainbow Dew from {0.SimName}. The bright colors should keep {MB.him}{FB.her} safe from motorists at night.	→	{1.SimName} has been transformed by Rainbow Dew from {0.SimName}. The bright colours should keep {MB.him}{FB.her} safe from motorists at night.
0x36864E7D81942A5C: Career Photographers know that it takes more than a photo credit to get famous.  They’re constantly working on their skill and selling their photos to be recognized and promoted.	→	Career Photographers know that it takes more than a photo credit to get famous. They’re constantly working on their skill and selling their photos to be recognised and promoted.
0x36A7DB6BA1E7C62B: Set Laser Play Color	→	Set Laser Play Colour
0x36C6FCE17DA1BA47: Localization Engineering	→	Localisation Engineering
0x36DD2587D1EE969A: Each windmill will reduce your bills by {0.Number}%.  You can use up to {1.Number} windmills to increase your reduction.	→	Each windmill will reduce your bills by {0.Number}%. You can use up to {1.Number} windmills to increase your reduction.
0x36E5C0D3F689E97D: Gutierrez	→	Gutiérrez
0x36EC311F49FA9019: With tires screeching and the engine roaring louder than a mob machine gun, {0.SimFirstName} managed to overtake the bad guys on the highway. It's a shame they are only peons and not worth the brilliant detective fury of {0.SimFirstName}.	→	With tires screeching and the engine roaring louder than a mob machine gun, {0.SimFirstName} managed to overtake the bad guys on the motorway. It's a shame they are only peons and not worth the brilliant detective fury of {0.SimFirstName}.
0x36EC311F49FA901F: {0.SimFirstName} just experienced a shootout down at the docks. Things were looking pretty grim until {0.SimFirstName} activated the crane and dumped the entire bus full of criminals into the harbor!	→	{0.SimFirstName} just experienced a shootout down at the docks. Things were looking pretty grim until {0.SimFirstName} activated the crane and dumped the entire bus full of criminals into the harbour!
0x36ED4023DE85F23C: Invite Over Next Ranked Soccer Opponent	→	Invite Over Next Ranked Football Opponent
0x36F385E59677C169: The Organization is planning a job on the {RabbitHoleName}. But first, they need you to case the joint. Go to the {RabbitHoleName} to look around a bit. Keep an eye open for good entry points, getaway routes, security guards, and the location of cameras. The Leader will provide you with a job performance increase when all of this is finished.	→	The Organisation is planning a job on the {RabbitHoleName}. But first, they need you to case the joint. Go to the {RabbitHoleName} to look around a bit. Keep an eye open for good entry points, getaway routes, security guards, and the location of cameras. The Leader will provide you with a job performance increase when all of this is finished.
0x37121B843CF793F2: Eat Snow Cone	→	Eat Sorbet
0x374F72B60F312C5C: {0.SimFirstName} could use a bit of sustenance.  After all, dogs' stomachs can growl too!	→	{0.SimFirstName} could use a bit of sustenance. After all, dogs' stomachs can growl too!
0x375960B60F39625E: {0.SimFirstName} could use a bit of sustenance.  After all, cats' stomachs can growl too!	→	{0.SimFirstName} could use a bit of sustenance. After all, cats' stomachs can growl too!
0x3764793AFF2FA7B4: Your cat feels the mockery inherent in every swish of that fish's tail.  After eyeing him for so long, your cat is sure that this day will be that fish's last.  Your cat wants to Catch a Fish.	→	Your cat feels the mockery inherent in every swish of that fish's tail. After eyeing him for so long, your cat is sure that this day will be that fish's last. Your cat wants to Catch a Fish.
0x37775D956DB46B82: Scrap Organizer	→	Scrap Organiser
0x377F91CC85E92460: Do the neighbors ever feel like an invading horde? Protect your territory by erecting this easy to install Great Wall strength fence, minus the hundreds of years of fighting and hard labor!	→	Do the neighbours ever feel like an invading horde? Protect your territory by erecting this easy to install Great Wall strength fence, minus the hundreds of years of fighting and hard labour!
0x37884AC4EB109980: A Widget Wonder has created {0.Number} Widgets.  As a result, all Widgets the Sim makes will be Improved Widgets and will have a bonus value.  Widget creation time is shortened as well.	→	A Widget Wonder has created {0.Number} Widgets. As a result, all Widgets the Sim makes will be Improved Widgets and will have a bonus value. Widget creation time is shortened as well.
0x3796F9B9141F32F5: The Cloud Ray gives you nothing less than command of the weather (albeit in an extremely localized fashion). It’s easy to operate: just point, shoot, and laugh in the face of nature.	→	The Cloud Ray gives you nothing less than command of the weather (albeit in an extremely localised fashion). It’s easy to operate: just point, shoot, and laugh in the face of nature.
0x379EF736854405E2: Ah, a new desk.  I’ll be able to get so much work done now.	→	Ah, a new desk. I’ll be able to get so much work done now.
0x37A477B0E092D009: The Junkyard is where you come to scavenge for Scrap and broken objects!\\n\\nWould you like to learn more about the junkyard?	→	The Scrapyard is where you come to scavenge for Scrap and broken objects!\\n\\nWould you like to learn more about the scrapyard?
0x37AB6FA3961B3950: We are gathered here today to honor the achievements of a very special member of our community. {0.SimFirstName} has repeatedly demonstrated courage, wisdom, integrity, and compassion when serving the citizens of {TownName}. Always willing to help out in an emergency, never too tired to aid a Sim in need, {0.SimFirstName} is a shining example of a hero among heroes in {TownName}. It is with great pride that I award the {1.String} to this fine Sim! Thank you, {0.SimFirstName}! Our town is a better place because of you!	→	We are gathered here today to honour the achievements of a very special member of our community. {0.SimFirstName} has repeatedly demonstrated courage, wisdom, integrity, and compassion when serving the citizens of {TownName}. Always willing to help out in an emergency, never too tired to aid a Sim in need, {0.SimFirstName} is a shining example of a hero among heroes in {TownName}. It is with great pride that I award the {1.String} to this fine Sim! Thank you, {0.SimFirstName}! Our town is a better place because of you!
0x37C1245C2F71F63B: Play Catch with {1.SimFirstName}	→	Throw Ball with {1.SimFirstName}
0x37E583D361C25A59: {0.SimName} has reached the bottom.  There are bones everywhere...  {0.SimName} is searching amongst the remains...	→	{0.SimName} has reached the bottom. There are bones everywhere... {0.SimName} is searching amongst the remains...
0x37E583D361C25A5A: {0.SimName} has reached the bottom.  It's a serene orchestra of colors and shapes down here!  {0.SimName} is looking around...	→	{0.SimName} has reached the bottom. It's a serene orchestra of colours and shapes down here! {0.SimName} is looking around...
0x37E583D361C25A5B: {0.SimName} has found the bottom, but doesn't have much breath left.  {0.SimName} is quickly scanning the area...	→	{0.SimName} has found the bottom, but doesn't have much breath left. {0.SimName} is quickly scanning the area...
0x37E583D361C25A5C: {0.SimName} has reached the lowest area.  It's really wet down there!  {0.SimName} is scoping the surroundings.	→	{0.SimName} has reached the lowest area. It's really wet down there! {0.SimName} is scoping the surroundings.
0x37E583D361C25A5D: {0.SimName} has reached the bottom, and can't see in the pitch dark depths!  {0.SimName} is feeling around the area...	→	{0.SimName} has reached the bottom, and can't see in the pitch dark depths! {0.SimName} is feeling around the area...
0x37E583D361C25A5E: {0.SimName} has reached the bottom.  Everything is covered in a thick layer of algae!  {0.SimName} is searching through the slime...	→	{0.SimName} has reached the bottom. Everything is covered in a thick layer of algae! {0.SimName} is searching through the slime...
0x37E583D361C25A5F: {0.SimName} has reached the bottom.  It's a spectacular reef of sea life and ruins!  {0.SimName} is searching the area...	→	{0.SimName} has reached the bottom. It's a spectacular reef of sea life and ruins! {0.SimName} is searching the area...
0x38106A016C3F409C: The band played {0.SimFirstName}'s favorite song and {1.SimFirstName} asked {MA.him}{FA.her} if {MA.he}{FA.she} wanted to go steady! 	→	The band played {0.SimFirstName}'s favourite song and {1.SimFirstName} asked {MA.him}{FA.her} if {MA.he}{FA.she} wanted to go steady! 
0x3825BE6BB7B457D2: Medical internship is a scary time filled with uncertainty, organs, and many pints of blood. It’s of the utmost importance that you read “Blood is Not Blue” to get you oriented towards a successful internship. You’ll surely earn a boost to your job performance and relationship with your boss.	→	Medical internship is a scary time filled with uncertainty, organs, and many litres of blood. It’s of the utmost importance that you read “Blood is Not Blue” to get you oriented towards a successful internship. You’ll surely earn a boost to your job performance and relationship with your boss.
0x385772905F9F9319: Analyze Sports Statistics	→	Analyse Sports Statistics
0x387FE6F9A2DC2577: I frequent the gym, but I never really put any thought into how I look. I heard a rumor, though, that a there might be a new fancy gym opening soon and I need to look my best!	→	I frequent the gym, but I never really put any thought into how I look. I heard a rumour, though, that a there might be a new fancy gym opening soon and I need to look my best!
0x38856F3D1BE55BE7: Those rumors about scarecrows suddenly coming to life can’t be true, right? Your Sim wants to see just how close they can get to one of these scarecrows…	→	Those rumours about scarecrows suddenly coming to life can’t be true, right? Your Sim wants to see just how close they can get to one of these scarecrows…
0x38863BEA48EE3FB2: {2.SimName} has visited Egypt and will remember it as a land of colorful markets, dangerous snake charmers and mysterious tombs!	→	{2.SimName} has visited Egypt and will remember it as a land of colourful markets, dangerous snake charmers and mysterious tombs!
0x38989047328FED30: It would have been most beneficial for The Organization, and yourself, if you had made it to the heist in time. Unfortunately... mostly for you... this was not the case. Perhaps you should be on time in the future?	→	It would have been most beneficial for The Organisation, and yourself, if you had made it to the heist in time. Unfortunately... mostly for you... this was not the case. Perhaps you should be on time in the future?
0x38DAEDFA36B1D44D: {0.SimFirstName} dreamed of a wildly different version of {MA.himself}{FA.herself}, but wakes with just a single altered personality trait.	→	{0.SimFirstName} dreamt of a wildly different version of {MA.himself}{FA.herself}, but wakes with just a single altered personality trait.
0x391046D8CA35807A: I didn't realize that "exotic drinks" really meant water, ice, and a little bit of food coloring.	→	I didn't realize that "exotic drinks" really meant water, ice, and a little bit of food colouring.
0x391119ED2CB08FA5: Pets like to chat with their friends, too, just like people! Your pet wants to socialize with another animal.	→	Pets like to chat with their friends, too, just like people! Your pet wants to socialise with another animal.
0x391197755176340C: Without you, {0.SimFirstName}, the situation at the science facility would not have been resolved in such a timely manner. Thanks to your quick thinking and fast actions the citizens of {TownName} can sleep well at night. I am honored to you award you with the {1.String} in recognition of your achievements.	→	Without you, {0.SimFirstName}, the situation at the science facility would not have been resolved in such a timely manner. Thanks to your quick thinking and fast actions the citizens of {TownName} can sleep well at night. I am honoured to you award you with the {1.String} in recognition of your achievements.
0x3943837561178793: DeLong	→	Teräväinen
0x394A4C64A2ABDE21: Setting Custom Color	→	Setting Custom Colour
0x394BE6D180C452F6: {0.SimFirstName} is running low on magic power!  Holding back on the spells for a while should help {MA.him}{FA.her} restore a bit.	→	{0.SimFirstName} is running low on magic power! Holding back on the spells for a while should help {MA.him}{FA.her} restore a bit.
0x396C0430AA7519FA: Prepare Favorite Meal	→	Prepare Favourite Meal
0x397D5619BA111C92: {2.SimName} has just won a Beginner Cross-country competition. {MA.He}{FA.She}'ll always remember the feeling of accomplishment as {MA.he}{FA.she} crossed the finish line and was awarded Simoleons and a trophy.  	→	{2.SimName} has just won a Beginner Cross-country competition. {MA.He}{FA.She}'ll always remember the feeling of accomplishment as {MA.he}{FA.she} crossed the finish line and was awarded Simoleons and a trophy. 
0x398B985489684692: Survival is all about making use of what you already have. Although, prioritizing what you need is another issue. 	→	Survival is all about making use of what you already have. Although, prioritising what you need is another issue. 
0x399E3C1D75B39198: The colors of earth and sky, those who fly can safely pass by.	→	The colours of earth and sky, those who fly can safely pass by.
0x399E3C1D75B3919B: Only one path can be trodden unscathed.  Follow the word of Horus to safely pass. For the first step, listen to his words: "While fire burns all that it touches, the color of warmth will lead to safety."	→	Only one path can be trodden unscathed. Follow the word of Horus to safely pass. For the first step, listen to his words: "While fire burns all that it touches, the colour of warmth will lead to safety."
0x39BA49B395FBE387: I want to give my toddler the whimsical room I never had as a child. Please use fun colors, whacky patterns, and be imaginative where possible.	→	I want to give my toddler the whimsical room I never had as a child. Please use fun colours, whacky patterns, and be imaginative where possible.
0x39C4C13450B7FEA9: What could be more comfortable than a baby’s cradle you ask? How about the cradle of all civilization, just to start? After naming it this, the couch’s designers went back and completely reengineered it to be the most comfortable sofa in the entire world.	→	What could be more comfortable than a baby’s cradle you ask? How about the cradle of all civilisation, just to start? After naming it this, the couch’s designers went back and completely reengineered it to be the most comfortable sofa in the entire world.
0x39CC6EED0C88C9C6: A parking spot is needed in order to place a motorcycle. Buy a parking space from the catalog first.	→	A parking spot is needed in order to place a motorcycle. Buy a parking space from the catalogue first.
0x3A019DB0D78E8939: Cheesesteak	→	Philly Cheesesteak
0x3A1F0E2C53FEE21F: With my last ounces of strength I am recording my final story.  I and some of my men were ordered by Admiral Landgraab I to come here and locate the treasure of Jean Necteaux.  We never found any evidence that Jean was burried here.  It must have all been lies!  We were tricked into this room by the cursed James Vaughan who sealed us in.  We are down to our last bit of food, I fear the worst for us...	→	With my last grams of strength I am recording my final story. I and some of my men were ordered by Admiral Landgraab I to come here and locate the treasure of Jean Necteaux. We never found any evidence that Jean was burried here. It must have all been lies! We were tricked into this room by the cursed James Vaughan who sealed us in. We are down to our last bit of food, I fear the worst for us...
0x3A294EB211DC4B48: Ask To Join: Soccer	→	Ask To Join: Football
0x3A340BBDF2D84B02: Wanting the never ending zombie experience, {0.SimName} used Potent Zombification and now has an indefinite craving for braaaaiiiiinnnnnnssss…  braaaaaaiiiiinnnnnsssss!!!!!!	→	Wanting the never ending zombie experience, {0.SimName} used Potent Zombification and now has an indefinite craving for braaaaiiiiinnnnnnssss… braaaaaaiiiiinnnnnsssss!!!!!!
0x3A47BB5E22099FDA: Analyze a total of {0.Number} Plants, Fish, Insects, and Rocks to reduce the cool down time on Correlating Scientific Data.	→	Analyse a total of {0.Number} Plants, Fish, Insects, and Rocks to reduce the cool down time on Correlating Scientific Data.
0x3A534F62AB826F1C: Diner	→	Eatery
0x3A650F9A9FD89FB0: The military caught wind of your plan before everything could fall into place, but all is not lost! Well, it is today, but your time shall come again! The Organization has deemed it fitting to reward you with a cash bonus for effort, and your accomplices still love you for your daring.	→	The military caught wind of your plan before everything could fall into place, but all is not lost! Well, it is today, but your time shall come again! The Organisation has deemed it fitting to reward you with a cash bonus for effort, and your accomplices still love you for your daring.
0x3A75C51B8831E4E4: The chef is very, very impressed with the produce you delivered! You are now able to plant eggs and cheese to turn into Eggplants and Cheeseplants. The delicious and frightening possibilities are endless! Come back for a new challenge when you’re a level 9 Gardener!	→	The chef is very, very impressed with the produce you delivered! You are now able to plant eggs and cheese to turn into Aubergines and Cheeseplants. The delicious and frightening possibilities are endless! Come back for a new challenge when you’re a level 9 Gardener!
0x3A80D7ED7ED3AD41: A Virtuoso Extraordinaire distinguishes themselves at the highest levels of painting, music, and cuisine. Only the one who can master all three will be immortalized for future generations.\n\n(Match the record and beat one category to earn this title.)	→	A Virtuoso Extraordinaire distinguishes themselves at the highest levels of painting, music, and cuisine. Only the one who can master all three will be immortalised for future generations.\n\n(Match the record and beat one category to earn this title.)
0x3A93E86FD2D2B104: A Professional Writer knows that writing and selling books brings home the bacon.  There’s no time for writer’s block or procrastination when a new breakthrough novel could mean the next big promotion.	→	A Professional Writer knows that writing and selling books brings home the bacon. There’s no time for writer’s block or procrastination when a new breakthrough novel could mean the next big promotion.
0x3A9927FD2C43968F: Analyze a Fish	→	Analyse a Fish
0x3AA2E326A1FCF467: High School Student	→	Secondary School Student
0x3ACAA1947B9D56E3: Sculptors can earn quite a bit of money by selling their creations at the local consignment store in town.	→	Sculptors can earn quite a bit of money by selling their creations at the local thrift shop in town.
0x3ACAA1947B9D56E4: Sculpt using several different types of media, including clay, wood, stone, and more.  New media unlock with higher skill, and vary in cost and sculpting time.	→	Sculpt using several different types of media, including clay, wood, stone, and more. New media unlock with higher skill, and vary in cost and sculpting time.
